_id,name,state,type
604716e386e72e6f0f5de024,KOTTAYAM,KERALA,TO
6047170686e72e6f0f5de027,IDUKKI,KERALA,TO
6047175486e72e6f0f5de028,ERNAKULAM,KERALA,TO
6047176786e72e6f0f5de029,THRISSUR,KERALA,TO
6047177486e72e6f0f5de02a,PALAKKAD,KERALA,TO
6047179c86e72e6f0f5de02b,MALAPPURAM,KERALA,TO
604717b686e72e6f0f5de02c,KOZHIKODE,KERALA,TO
604717cc86e72e6f0f5de037,WAYANAD,KERALA,TO
6047188d86e72e6f0f5de042,KANNUR,KERALA,TO
60518cef157ab56a2680fb00,DARJEELING,WEST BENGAL,FROM
60518d02157ab56a2680fb03,RANCHI,JHARKHAND,FROM
60518d10157ab56a2680fb04,GUWAHATI,ASSAM,FROM
6051a0f1157ab56a26873303,TIRUCHIRAPPALLI,TAMIL NADU,TO
6051acbd92520f20bf6dad69,TUMKUR,KARNATAKA,TO
60558a6686642a6e07492788,COCHIN,KERALA,FROM
605983bffa3f944626ad7235,BHIND,MADHYA PRADESH,TO
605b377cf3b7057d889dcaf4,ARAVALLI,GUJARAT,TO
605eec8cf7cb9305710d60e4,SBS NAGAR,PUNJAB,TO
6062c214a316c940b782424d,VIRUDHUNAGAR,TAMIL NADU,TO
606449d0a28e60712ade5a95,KARNAL,HARYANA,FROM
606598047fa00e0be370a4ad,THRISSUR,KERALA,FROM
606700bbd2d6bd3283b0fe0b,KOZHIKODE,KERALA,FROM
606c0f64aab10136c973ce11,DHARWAD,KARNATAKA,TO
607672f187b69c3de0cd676a,HOSUR,TAMIL NADU,FROM
607a813eb3fcd60eadbc9d60,SHAJAPUR,MADHYA PRADESH,TO
607ea6834970346613ff5027,BENGALURU RURAL,KARNATAKA,TO
608024c44bf1fa09ac0bca39,NAMAKKAL,TAMIL NADU,TO
6080253e4bf1fa09ac0bca3e,PUDUKOTTAI,TAMIL NADU,TO
60804f204bf1fa09ac15a941,PERAMBALUR,TAMIL NADU,TO
60804fa14bf1fa09ac15a942,THANJAVUR,TAMIL NADU,TO
